Hospital Name,Address,CITY,STATE,PPN / NON PPN
"SV Hospital (A Unit Of Healthcare 
Alliance)","# 14-327, Kamala Nagar, AnantapurKamala Nagar",ANANTPUR,ANDHRA PRADESH,NON PPN
Kims Saveera Hospital Pvt Ltd,"1-1348, Srinagar Colony Extension, Bh - 44,Opp Sakshi 
Office,AnantapuramRudrampeta,",ANANTPUR,ANDHRA PRADESH,NON PPN
Aashraya Multi Specialty Hospital,"1-653/3, Opp Khanna Kalyana Moudapam, Kattamanchi, 
ChittoorKattamanchi",CHITOOR,ANDHRA PRADESH,NON PPN
Aragonda Apollo Hospitals,"Aragonda Village,,Thavanam Palli Mandal,,Chittoor",Chittoor,ANDHRA PRADESH,NON PPN
Apollo Samudra Hospitals(Kakinada),"13-1-3, Main Road, Surya Rao Peta,,Near 2 Town Police 
Chowky,,Kakinada",East Godavari,ANDHRA PRADESH,NON PPN
Swatantra Hospitals Pvt Ltd,"Near Kambala Park,,Rajahmundry",East Godavari,ANDHRA PRADESH,NON PPN
Prof D Ramakotaiah Children Hospital,"D. No.12-25-24, Beside Sivalayam Temple, KothapetGuntur",GUNTUR,ANDHRA PRADESH,NON PPN
Padmavathy Superspeciality Hospital,"OPP.POST OFFICE, KOTHAPET,NIL",GUNTUR,ANDHRA PRADESH,NON PPN
Sri Datta Super Specialty Hospital,"Beside Town Hall, Prakash Nagar, Narasaraopet, 
GunturGuntur",GUNTUR,ANDHRA PRADESH,NON PPN
Sri Vasudha Hospitals,"DS Kalyana Mandapam, Kothapet, Guntur Kothapet",GUNTUR,ANDHRA PRADESH,NON PPN
Tulasi Multi Speciality Hospital,"5th Lane, Gunturivari Thota, Old Club Road, GunutrGunutr",GUNTUR,ANDHRA PRADESH,NON PPN
Sravani Hospital,"Old Bank Road, Kothapet, GunturKothapet",GUNTUR,ANDHRA PRADESH,NON PPN
Vedanta Hospitals,"# 15-11-154. Near Best Price Mangalagiri Road, Guntur, 
Andhra Pradesh 522001Guntur",GUNTUR,ANDHRA PRADESH,NON PPN
NRI General Hospital,"NRI Hospital Road, NH5, Chinakakani, Mangalagiri, Guntur, 
Andhra Pradesh 522503Guntur",GUNTUR,ANDHRA PRADESH,NON PPN
St Joseph General Hospital,"D. No:27-1-12, Opp. AC Collage, Near Fly Over, 
GunturGuntur",GUNTUR,ANDHRA PRADESH,NON PPN
Palnadu Hospitals,"#7-234, Main Road, Piduguralla, GunturPiduguralla",GUNTUR,ANDHRA PRADESH,NON PPN
Vunnam Hospitals,"Main Road, Piduguralla, Guntur Guntur",GUNTUR,ANDHRA PRADESH,NON PPN
Sri Balaji Hospital Guntur,"Door No: 51-22-526 YADAVALLI VARI STREET, KOTHAPET, 
GUNTUR-522001Guntur",GUNTUR,ANDHRA PRADESH,NON PPN
A1 Hospitals,"12-1-36, Anna Srinivasa Rao Kalyana Mandapam Road, 
Kothapet, GunturGuntur",GUNTUR,ANDHRA PRADESH,NON PPN
Praja Vidyasala Multi Specialty Hospital,"Gujjanagundla, GunturGuntur",GUNTUR,ANDHRA PRADESH,NON PPN
Help Hospital,"4/5th Arundelpet, GunturGuntur",GUNTUR,ANDHRA PRADESH,NON PPN
Sri Srinivasa Mother and Child Hospital,"5-5-78/38, Palnadu Road, Guntur, Andhra PradeshGuntur",GUNTUR,ANDHRA PRADESH,NON PPN
Amar Orthopaedic Hospital,"Goudia Matam Road, 1st Line,,Gunturuvarithota 
Kothapet,,GunturNIL",GUNTUR,ANDHRA PRADESH,NON PPN
Amma Children Hospital,"13-07-109/D,Oid Club Road,Gunturuvari Thota",GUNTUR,ANDHRA PRADESH,NON PPN
Aruna Hospital(Tenali),"Gopala Reddy Street,,Ganganammapet, Prakasam 
Road,,Tenali",Guntur,ANDHRA PRADESH,NON PPN
C V R Hospital,"1st Line Sambasivapet, Guntur,Nazz Centre,,",Guntur,ANDHRA PRADESH,NON PPN
Coastal Care Hospital,"8th Lane Gunturuvari Thota,,Opp. Apsrtc Bus Stand Old 
Club Road,Kothapet",Guntur,ANDHRA PRADESH,NON PPN
Dhulipalla Hospital,"Door No. 12-15-179,,Kothapet",Guntur,ANDHRA PRADESH,NON PPN
Health Hospitals,"D. No-7-5-88/A, Prakasam Road,,Tenali, 
Guntur,Ganganammapet",GUNTUR,ANDHRA PRADESH,NON PPN
Hyma Hospital,"D No3-14-19,Pattabhipuram,,Main Road.,Pattabhipuram",Guntur,ANDHRA PRADESH,NON PPN
J K Hospital ( Guntur ),"Ganganamma Pet,,Prakasam Road,,Tenali",Guntur,ANDHRA PRADESH,NON PPN
"Karumuri Super Speciality Hospital (P) 
Ltd.","13-4-73 Old Club Road , 4th Line Gunturivarithota,,4th 
Line,Gunturivari Thota, Old Club Road,,Nr Bus Stand",Guntur,ANDHRA PRADESH,NON PPN
Lakshmi Srinivasa Hospital,"D. No.-15-1-29, Behind Manipuram Bridge,,Near Rtc Bus 
Stand,,Kothapet",Guntur,ANDHRA PRADESH,NON PPN
Lalitha Super Speciality Hospital,"Gowrisankar Theatre Road, Kothapet",GUNTUR,ANDHRA PRADESH,NON PPN
M N Hospital,"D. No. 5-37-77,,,Brodipet",Guntur,ANDHRA PRADESH,NON PPN
"Mother Teresa Orthopaedic And Accident 
Care Hospital","Opp R&B Banglow, Mekauari Veedi, Near Bus Stand And 
Railway Station,,Repalle, Guntur.,",Guntur,ANDHRA PRADESH,NON PPN
Sree Prathima Super Speciality Hospital,"D No:12-11-648,,Beside Manipuram Bridge, 1st Line,Guntur",Guntur,ANDHRA PRADESH,NON PPN
Star Hospital,"Block No.3, Mangalamandiram Compound,,Old Club 
Road,,Kothapet",Guntur,ANDHRA PRADESH,NON PPN
V Cardiac And Multi Speciality Hospital,"22-15-12, T. B. Road,,Navyuga Hotel Back Side,,Tenali",Guntur,ANDHRA PRADESH,NON PPN
Varababu Super Specialty Hospital,Prakash Nagar Narasaraopet Guntur Guntur,GUNTUR,ANDHRA PRADESH,NON PPN
Omega Hospital,"DNo - 55-1-11, Behind Mehar Baba Temple, Near Auto 
Nagar",GUNTUR,ANDHRA PRADESH,NON PPN
Blossoms Childrens Hospital,"13-5-97, Old Club Road,Kothapet,Gunturivarithota,",GUNTUR,ANDHRA PRADESH,NON PPN
Lahiri Hospital,"Beside Sri Venkateswara Theratre, Subhani Nagar, KB road, 
Chilakaluripeta,",GUNTUR,ANDHRA PRADESH,NON PPN
