Hospital Name,Address,CITY,STATE,PPN / NON PPN
Prashanth Multispeciality Hospital,"No-77, Harrington Road, Chetpet",CHENNAI,TAMILNADU,PPN
Apollo Spectra Hospital Alwarpet,"12, CP Ramaswamy Iyer Rd, Natesan Colony, Alwarpet, 
Chennai, Tamil Nadu 600018Alwarpet",CHENNAI,TAMILNADU,NON PPN
Sivam Hospital,"Plot No:3,Srinivasan Street, Jagadambal Colony, Ullagaram,",CHENNAI,TAMILNADU,PPN
FOR Ortho And Neuro Speciality Hospital,"No. 39-40-41, Dhanrajapuram Extension, 200 Feet Road 
Ambedkar Nagar Bus Stop, Kolathur,",CHENNAI,TAMILNADU,PPN
Dr Rex S Hospital,"37, Millers Road, Kilpauk,nil",CHENNAI,TAMILNADU,NON PPN
Orthomed Multispeciality Hospital,"#83 (Old No.43) Royapettah High Road, Royapettah,nil",CHENNAI,TAMILNADU,PPN
Ravina Hospital,"No. 99, Poonamallee High Road, Maduravoyal,nil",CHENNAI,TAMILNADU,PPN
Mint Multispeciality Hospital,"No. 19/1, 1st Avenue, Shastri Nagar, Adyar,nil",CHENNAI,TAMILNADU,PPN
Murugan Hospitals,"No. 264, 125, Kilpauk Garden Road, Kilpauk,nil",CHENNAI,TAMILNADU,PPN
Saraswathy Multispecialty Hospital,"92/A,Bazaar Road, Sadasivam nagar,near ramnagar bus 
stop ,Madipakkam,nil",CHENNAI,TAMILNADU,PPN
Avinash Hospitals Pvt Ltd,"No. 165, thiruvin Nagar, 200ft radial road, 
kovilambakkam,nil",CHENNAI,TAMILNADU,PPN
Bewell Hospitals,"A1 / 1, CTH road, Balaji Nagar, Thirumulaivoyil, Ambattur,nil",CHENNAI,TAMILNADU,PPN
Gem Hospital And Research Centre,"227/2C2, MGR Salai,Perungudi,Saidapet,",CHENNAI,TAMILNADU,NON PPN
Be Well Hospitals(Poonamallee),"#186, Trunk Road, Poonamalleenil",CHENNAI,TAMILNADU,NON PPN
Maaya Speciality Hospital,"No.12, PRH Road, New Lakshmi Puram, Kolathur,nil",CHENNAI,TAMILNADU,PPN
VM Hospitals,"121/1, Redhills Road, Vijayalakshmi Puram, Opp. Oragadam 
Juction,",CHENNAI,TAMILNADU,NON PPN
Hycare Superspeciality Hospital,"37, Razack Garden Road, MMDA Colony,Arumbakkam,",CHENNAI,TAMILNADU,NON PPN
Rainbow Children Hospital,"157, Anna Salai, Near Little Mount Metro Station, 
Guindy,Near Little Mount Metro Station,",CHENNAI,TAMILNADU,PPN
RPS Hospital,"65/2, Water Canal Rd, TVS Nagar, Korattur",CHENNAI,TAMILNADU,PPN
MMRV Hospital,"No.5/Pc-2, Bharathi Salai, Mogappair West,nil",CHENNAI,TAMILNADU,PPN
Muthu Hospital,"105 Pulianthope High Road,Pulianthope,nil",CHENNAI,TAMILNADU,PPN
Bharath Hospital,"#72, I Main Road Naganallur,nil",CHENNAI,TAMILNADU,PPN
Km Hospitals,"64, Medavakkam Tank Road, Kilpauk,",CHENNAI,TAMILNADU,NON PPN
Dr Arvind Vision Care Hospital,"2/862, 1st Block, Mogappair West, Ambattur Industrail 
Estate, nil",CHENNAI,TAMILNADU,PPN
Neolife Childrens Hospital,"PLOT NO 11-15 & 117-19,AGS COLONY BHARATHIDASAN 
STREET RAM NAGAR NORTH EXTENSION , 
MADIPAKKAM,nil",CHENNAI,TAMILNADU,PPN
Neolife Hospital Pvt Ltd,"NO 14/1 2ND CROSS STREET KANNAN NAGAR 
MADIPAKKAM KOOT ROAD MADIPAKKAM,nil",CHENNAI,TAMILNADU,PPN
Ezhil Hospital,"583, Th Road, Tondiarpet, nil",CHENNAI,TAMILNADU,PPN
Mount Multispeciality Hospital,"63, Main Road, Kesari Nagar, Adambakkam,nil",CHENNAI,TAMILNADU,PPN
Mahalakshmi Multispeciality Hospital,"Old No. 2/576, New No. 1/164, Mount Poonamallee High 
Road, Iyyappanthangal,nil",CHENNAI,TAMILNADU,NON PPN
Tagore Medical College And Hospital,"Rathinamangalam, Melakkottaiyr, nil",CHENNAI,TAMILNADU,PPN
Dr Mehta Multispeciality Hospital,"No.50, Poonamallee High Road, Vellappanchavandi,",CHENNAI,TAMILNADU,PPN
C Dot Hospital,"2/1029, Perumbakkam Main Road, nil",CHENNAI,TAMILNADU,PPN
Lakshmi Maternity Hospital,"20, 3rd Avenue, Indira Nagar, Adyar,",CHENNAI,TAMILNADU,PPN
"Srinivasan Rajalakshmi Memorial Hospital 11/77, 6th Street, Voltas Colony, Nanganallur,",,CHENNAI,TAMILNADU,PPN
Vishnu ENT Hospital,"109, A.K.Nagar, NSR Road, Sai Baba Colony, 
CoimbatoreCoimbatore",COIMBATORE,TAMILNADU,PPN
VG Hospital,"76/A, MTP Road, Coimbatore, Tamil Nadu 
641034Coimbatore",COIMBATORE,TAMILNADU,PPN
