Hospital Name,CITY,STATE,Rating,Number of Reviews,Plus Code
A1 Hospitals,GUNTUR,ANDHRA PRADESH,4.6,575,"7FX2+5R Guntur, Andhra Pradesh"
Praja Vidyasala Multi Specialty Hospital,GUNTUR,ANDHRA PRADESH,4.7,317,"8CC7+2P Guntur, Andhra Pradesh"
Help Hospital,GUNTUR,ANDHRA PRADESH,4.4,281,"8C3V+VQ Guntur, Andhra Pradesh"
Sri Srinivasa Mother and Child Hospital,GUNTUR,ANDHRA PRADESH,4,34,"62QW+4H Narasaraopeta, Andhra Pradesh"
Amar Orthopaedic Hospital,GUNTUR,ANDHRA PRADESH,4.6,575,"7FX2+5R Guntur, Andhra Pradesh"
Amma Children Hospital,GUNTUR,ANDHRA PRADESH,4.3,116,"7FW3+J5 Guntur, Andhra Pradesh"
Aruna Hospital(Tenali),Guntur,ANDHRA PRADESH,4.3,15,
C V R Hospital,Guntur,ANDHRA PRADESH,3.3,122,"7CXW+62 Guntur, Andhra Pradesh"
Coastal Care Hospital,Guntur,ANDHRA PRADESH,4.6,443,"7FX4+36 Guntur, Andhra Pradesh"
Dhulipalla Hospital,Guntur,ANDHRA PRADESH,2.6,30,"8F22+32 Guntur, Andhra Pradesh"
Health Hospitals,GUNTUR,ANDHRA PRADESH,4.8,19688,"7CVV+72 Guntur, Andhra Pradesh"
Hyma Hospital,Guntur,ANDHRA PRADESH,3.2,161,"8C59+5H5 Guntur, Andhra Pradesh"
J K Hospital ( Guntur ),Guntur,ANDHRA PRADESH,5,2,"8C7V+G3 Guntur, Andhra Pradesh"
"Karumuri Super Speciality Hospital (P) 
Ltd.",Guntur,ANDHRA PRADESH,2.7,168,"7FX3+CG Guntur, Andhra Pradesh"
Lakshmi Srinivasa Hospital,Guntur,ANDHRA PRADESH,4.3,28,"7FX4+CW Guntur, Andhra Pradesh"
Lalitha Super Speciality Hospital,GUNTUR,ANDHRA PRADESH,4.4,2171,"7CWX+5X Guntur, Andhra Pradesh"
M N Hospital,Guntur,ANDHRA PRADESH,2.4,76,"8C2M+XH Guntur, Andhra Pradesh"
"Mother Teresa Orthopaedic And Accident 
Care Hospital",Guntur,ANDHRA PRADESH,3.9,9,
Sree Prathima Super Speciality Hospital,Guntur,ANDHRA PRADESH,4.5,479,"7FX4+R8M Guntur, Andhra Pradesh"
Star Hospital,Guntur,ANDHRA PRADESH,4,45,"7FX3+PF Guntur, Andhra Pradesh"
V Cardiac And Multi Speciality Hospital,Guntur,ANDHRA PRADESH,5,11,"7CWX+QV Guntur, Andhra Pradesh"
Varababu Super Specialty Hospital,GUNTUR,ANDHRA PRADESH,3.2,13,"62HW+6J Narasaraopeta, Andhra Pradesh"
Omega Hospital,GUNTUR,ANDHRA PRADESH,4.1,439,"8F8C+GR Guntur, Andhra Pradesh"
Blossoms Childrens Hospital,GUNTUR,ANDHRA PRADESH,4.5,859,"7FX2+HJ Guntur, Andhra Pradesh"
Lahiri Hospital,GUNTUR,ANDHRA PRADESH,2.8,32,
Bharathi Hospital,KADAPA,ANDHRA PRADESH,4,143,"FR6F+8F Kadapa, Andhra Pradesh"
Mrudula Hospital,KADAPA,ANDHRA PRADESH,3.7,180,"FR6F+VM Kadapa, Andhra Pradesh"
Vidyasagar Hospital,KADAPA,ANDHRA PRADESH,4.9,1889,"FR7G+28 Kadapa, Andhra Pradesh"
Suraksha Super Speciality Hospital,KADAPA,ANDHRA PRADESH,3.3,57,"FR9J+CR Kadapa, Andhra Pradesh"
Sri Srinivasa Hospital,KADAPA,ANDHRA PRADESH,3.4,78,"FRFF+36 Kadapa, Andhra Pradesh"
Kadapa Hospitals,KADAPA,ANDHRA PRADESH,2.9,114,"FRGF+2H Kadapa, Andhra Pradesh"
Hope International Hospital,Kakinada,ANDHRA PRADESH,4.8,5899,"26FJ+PW Kakinada, Andhra Pradesh"
"Trust Hospital - A Unit Of Sarvottam 
Healthcare Pvt Ltd",KAKINADA,ANDHRA PRADESH,4.8,1841,"X6XH+97 Kakinada, Andhra Pradesh"
"Omni Hospital (A Unit Of Incor 
Padmachandra Hospitals Pvt Ltd)",Kurnool,ANDHRA PRADESH,4.7,1584,"R2FR+CJ Kurnool, Andhra Pradesh"
Omega Hospital,KURNOOL,ANDHRA PRADESH,3.6,414,"Q3W7+5F Kurnool, Andhra Pradesh"
Agraseni Hospital,KURNOOL,ANDHRA PRADESH,3.2,84,"R27R+VQ Kurnool, Andhra Pradesh"
GNR Hospital,KURNOOL,ANDHRA PRADESH,4.2,100,"R27Q+33 Kurnool, Andhra Pradesh"
Kims Rainbow Hospital Pvt Ltd,KURNOOL,ANDHRA PRADESH,4.7,7615,"R374+7R Kurnool, Andhra Pradesh"
Sai Vani Hospital,NANDYAL,ANDHRA PRADESH,3.4,52,"FFPG+CG Nandyala, Andhra Pradesh"
Sree Sai Multispecialty Hospital,NANDYAL,ANDHRA PRADESH,3.4,25,"FFMP+WX Nandyala, Andhra Pradesh"
Santhiram General Hospital,Nandyal,ANDHRA PRADESH,3.7,232,"FCV8+2X Nandyala, Andhra Pradesh"
Sri Narmada Hospital,NANDYAL,ANDHRA PRADESH,4.1,26,"FFPR+C8 Nandyala, Andhra Pradesh"
Maruthi Hospital,NELAMANGALA,ANDHRA PRADESH,4,73,"5C8X+RJ Nellimarla, Andhra Pradesh"
Vijaya Krishna Hospital Pvt Ltd,NELLORE,ANDHRA PRADESH,3.5,66,"CXXM+J7 Nellore, Andhra Pradesh"
RSR Hospital,NELLORE,ANDHRA PRADESH,3.9,67,"CXXM+FW Nellore, Andhra Pradesh"
Rudra Multi Speciality Hospital,NELLORE,ANDHRA PRADESH,4.9,105,"FX2M+6V Nellore, Andhra Pradesh"
KBR Orthopedic Hospital,NELLORE,ANDHRA PRADESH,3.9,21,"FX3P+26 Nellore, Andhra Pradesh"
Simhapuri Hospitals,NELLORE,ANDHRA PRADESH,4.5,20,"CXPX+MP Nellore, Andhra Pradesh"
Apollo Hospital Nellore,Nellore,ANDHRA PRADESH,4.9,13062,"CXQV+82 Nellore, Andhra Pradesh"
"Kidz Rainbow Children And Baby Hospital Ramesh Reddy Nagar,Near Rtc Bus Stand.,,",Nellore,ANDHRA PRADESH,4.1,90,
Lotus Hospital(Nellore),Nellore,ANDHRA PRADESH,4.7,1845,"CXXM+CV Nellore, Andhra Pradesh"
Mydhili Hospital,Nellore,ANDHRA PRADESH,4,151,"4VW2+32 Gudur, Andhra Pradesh"
"Rainbow Super Speciality 
Hospital(Nellore)",Nellore,ANDHRA PRADESH,3.6,132,
"Sai Suresh Children Surgical And 
Meternity Hospital",Nellore,ANDHRA PRADESH,4.6,15,"CXXP+V2 Nellore, Andhra Pradesh"
St. Josephs Hospital.,Nellore,ANDHRA PRADESH,,,
Venkataramana Hospital,Nellore,ANDHRA PRADESH,,199,"FX2P+P7 Nellore, Andhra Pradesh"
Vijaya Care Hospital,Nellore,ANDHRA PRADESH,3,29,"FX2Q+V4 Nellore, Andhra Pradesh"
Reshma Mutilspeciality Hospital(RMH),NELLORE,ANDHRA PRADESH,4.3,82,"FX2P+J8 Nellore, Andhra Pradesh"
Chaitanya Hospital Ongole,ONGOLE,ANDHRA PRADESH,3.6,35,"G26P+W7 Ongole, Andhra Pradesh"
Zachariah's Hospital,ONGOLE,ANDHRA PRADESH,4.4,40,"F2XV+C9 Ongole, Andhra Pradesh"
Srinivasa Hospital,ONGOLE,ANDHRA PRADESH,3,54,"G26Q+JP Ongole, Andhra Pradesh"
Sri Prasanthi Hospital,ONGOLE,ANDHRA PRADESH,4.7,193,"G26R+J8 Ongole, Andhra Pradesh"
Prasad Multi Speciality Hospital,ONGOLE,ANDHRA PRADESH,3.9,43,"F2WX+VC Ongole, Andhra Pradesh"
Manasa Mother and Child Hospital,ONGOLE,ANDHRA PRADESH,3.6,103,"G26Q+VQ Ongole, Andhra Pradesh"
BGR Hospital,PRODDUTUR,ANDHRA PRADESH,4.4,10,"PGXX+H2 Proddatur, Andhra Pradesh"
Shree Madan Multispecialty Hospital,PRODDUTUR,ANDHRA PRADESH,3.7,36,
Svr Hospital (Proddatur),PRODDUTUR,ANDHRA PRADESH,3.5,36,"QG2X+Q7 Proddatur, Andhra Pradesh"
Chandrakala Super Specialty Hospital,RAJAHMUNDRY,ANDHRA PRADESH,4.9,212,"2Q4P+W9 Rajamahendravaram, Andhra Pradesh"
Kamala Hospital,SRIKAKULAM,ANDHRA PRADESH,3.5,26,
Mother Vannini Hospital,TADEPALLIGUDEM,ANDHRA PRADESH,4,41,
"Geeta Hospitals(Sri Geeta Health Care 
Pvt Ltd)",TANUKU,ANDHRA PRADESH,3.7,86,"QM4G+VX Tanuku, Andhra Pradesh"
Sri Aditya Hospital,TANUKU,ANDHRA PRADESH,4.6,37,
Nisa Hospital,TANUKU,ANDHRA PRADESH,4.4,132,"QM4M+F3 Tanuku, Andhra Pradesh"
"Gayathri Hospitals ( A Unit Of 
J.D.Hospital Pvt.Ltd )",TIRUPATI,ANDHRA PRADESH,3.9,91,"JCPC+QG Tirupati, Andhra Pradesh"
"Venkataramana Heart and Maternity 
Hospital",TIRUPATI,ANDHRA PRADESH,4.3,1080,"JCPC+42 Tirupati, Andhra Pradesh"
Sri Sai Multi Speciality Hospital,TIRUPATI,ANDHRA PRADESH,4.5,92,"JCQ7+8M Tirupati, Andhra Pradesh"
Gopi Madhavi Hospital,TIRUPATI,ANDHRA PRADESH,4.2,90,"JCPC+25 Tirupati, Andhra Pradesh"
Care Plus Hospitals,TIRUPATI,ANDHRA PRADESH,4.6,57,"JC97+M9 Tirupati, Andhra Pradesh"
Suraksha Hospital Tirupati,TIRUPATI,ANDHRA PRADESH,4.2,132,"JCRM+X3 Tirupati, Andhra Pradesh"
Fortuna Women & Orthocare Hospital,TIRUPATI,ANDHRA PRADESH,3.6,203,"JCF6+3H Tirupati, Andhra Pradesh"
Elite Multi Specialiy Hospital Pvt Ltd,Tirupati,ANDHRA PRADESH,4.5,343,"JCPC+HP Tirupati, Andhra Pradesh"
"Sree Ramadevi Multi Super Speciality 
Hospital",Tirupati,ANDHRA PRADESH,4.3,1449,"JCQ9+52 Tirupati, Andhra Pradesh"
Vidyu Hemanth Hospital Tirupati,Tirupati,ANDHRA PRADESH,4.4,59,"JCPC+99 Tirupati, Andhra Pradesh"
Amma Children Hospital,TIRUPATI,ANDHRA PRADESH,3.8,133,"JCQF+5M Tirupati, Andhra Pradesh"
Helios Hospital,TIRUPATI,ANDHRA PRADESH,4.7,1239,"JCQF+8G Tirupati, Andhra Pradesh"
"Narayanadri Hospital & Research 
Institute PVT LTD",TIRUPATI,ANDHRA PRADESH,4.9,9953,"JFH7+9G Tirupati, Andhra Pradesh"
Andhra Hospitals,Vijayawada,ANDHRA PRADESH,4.6,2201,"GJ6H+CQ Vijayawada, Andhra Pradesh"
Anu Hospital,Vijayawada,ANDHRA PRADESH,4.2,819,
Boppana Superspeciality Hospital,Vijayawada,ANDHRA PRADESH,4.8,6594,"FJM8+QQ Vijayawada, Andhra Pradesh"
"Gayathri Women And Child Care Hospital 
Pediatric Super Speciality Center",Vijayawada,ANDHRA PRADESH,4.8,6594,"FJM8+QQ Vijayawada, Andhra Pradesh"
Giridhar Ent Hospital And Laser Centre,Vijayawada,ANDHRA PRADESH,4.3,96,"GJ7M+9G Vijayawada, Andhra Pradesh"
Kamineni Hospitals,Vijayawada,ANDHRA PRADESH,4.7,4262,
Liberty Hospitals,Vijayawada,ANDHRA PRADESH,3.6,346,"FMQC+XJ Vijayawada, Andhra Pradesh"
Life Line Hospital Trimurthy Hospital,Vijayawada,ANDHRA PRADESH,3.7,130,"GJ6P+92 Vijayawada, Andhra Pradesh"
Mjnaidu Super Speciality Hospital,Vijayawada,ANDHRA PRADESH,4.6,1297,"GJ6Q+C6 Vijayawada, Andhra Pradesh"
Nori Multi Speciality Hospital,Vijayawada,ANDHRA PRADESH,4.4,944,"GJ9J+HG Vijayawada, Andhra Pradesh"
Sagar Super Speciality Hospitals.,Vijayawada,ANDHRA PRADESH,5,1,
Sentini Hospitals Pvt Ltd,Vijayawada,ANDHRA PRADESH,4.4,1600,"GM57+WX Vijayawada, Andhra Pradesh"
Sindhura Hospitals Vijayawada,Vijayawada,ANDHRA PRADESH,3.6,127,"GJ7M+38 Vijayawada, Andhra Pradesh"
Sri Santhi Hospitals,Vijayawada,ANDHRA PRADESH,3.2,115,
Vignesh Super Specialities Hospital,Vijayawada,ANDHRA PRADESH,4.8,6594,"FJM8+QQ Vijayawada, Andhra Pradesh"
Vijaya Super Speciality Hospital,Vijayawada,ANDHRA PRADESH,4.5,1609,"GJ7P+FW Vijayawada, Andhra Pradesh"
"Vijaywada Multi Speciality Hospital (A 
Unit Of Durgabhavani Hosp Pvt Ltd)",Vijayawada,ANDHRA PRADESH,3.9,89,"GHFV+MM Vijayawada, Andhra Pradesh"
Vijetha Hospital(Vijayawada),Vijayawada,ANDHRA PRADESH,3.3,4,"GJ7P+W3 Vijayawada, Andhra Pradesh"
Charithasri Hospital Ltd,VIJAYWADA,ANDHRA PRADESH,4.8,6594,"FJM8+QQ Vijayawada, Andhra Pradesh"
"Andhra Hospitals (Bhavanipuram) Pvt Ltd D.NO.16-72/1,OPP.HIGH SCHOOL, Gollapudi",VIJAYWADA,ANDHRA PRADESH,4.6,20,"GHPM+JV Vijayawada, Andhra Pradesh"
Srikara Hospitals,VIJAYWADA,ANDHRA PRADESH,4.7,2035,"GP22+V7 Penamaluru, Andhra Pradesh"
Vennela Mother And Child Hospital,VIJAYWADA,ANDHRA PRADESH,3.9,70,"FMX4+W2 Vijayawada, Andhra Pradesh"
"Global Multispeciality Hospital (Global 
Medical Center)",VIJAYWADA,ANDHRA PRADESH,3,89,"GJ69+G8 Vijayawada, Andhra Pradesh"
Sunrise Hospital(Vijayawada),VIJAYWADA,ANDHRA PRADESH,2.9,531,"GJ7Q+4M Vijayawada, Andhra Pradesh"
Time Hospitals Pvt Ltd,VIJAYWADA,ANDHRA PRADESH,5,1,"FMX3+2X Vijayawada, Andhra Pradesh"
Bmr Hospitals,VIJAYWADA,ANDHRA PRADESH,3.7,3,
Nandan Hospital,VIJAYWADA,ANDHRA PRADESH,4.6,70,"GJ6P+7W Vijayawada, Andhra Pradesh"
Bharathi Hospital,Visakhapatnam,ANDHRA PRADESH,4.4,208,"P865+8C Visakhapatnam, Andhra Pradesh"
Annapoorna Hospital,Visakhapatnam,ANDHRA PRADESH,2.8,20,"P8G3+XR Visakhapatnam, Andhra Pradesh"
Seven Hills Hospitals Ltd,VISAKHAPATNAM,ANDHRA PRADESH,4.1,1893,"P885+WP Visakhapatnam, Andhra Pradesh"
"Lotus Hospitals For Women And Children #10-59-9, opposite Waltair Club, behind Gothi sons,",VISAKHAPATNAM,ANDHRA PRADESH,4.4,636,"P8C7+GX Visakhapatnam, Andhra Pradesh"
Usha Prime Molti Speciality Hospital,VISAKHAPATNAM,ANDHRA PRADESH,4.5,892,
Abc Hospital(Visakhapatnam),Visakhapatnam,ANDHRA PRADESH,3.4,118,"P845+FM Visakhapatnam, Andhra Pradesh"
"Aditya Multicare 
Hospital(Visakhapatnam)",Visakhapatnam,ANDHRA PRADESH,2.9,68,
Apollo Hospital (Visakhapatnam),VISAKHAPATNAM,ANDHRA PRADESH,4.8,3804,"P885+WM Visakhapatnam, Andhra Pradesh"
"Care Hospital( The Institute Of Medical 
Sciences)",Visakhapatnam,ANDHRA PRADESH,4.6,4917,"P8C7+44 Visakhapatnam, Andhra Pradesh"
Durga Hospital (Kancharapalem),Visakhapatnam,ANDHRA PRADESH,4,136,"P7PC+9J Visakhapatnam, Andhra Pradesh"
Kims Icon Hospital(Icon Krishi Hospital),VISAKHAPATNAM,ANDHRA PRADESH,4.5,24414,"P57W+Q7 Visakhapatnam, Andhra Pradesh"
Kala Hospital(Visakhapatnam),Visakhapatnam,ANDHRA PRADESH,3.1,137,"P8H4+J8 Visakhapatnam, Andhra Pradesh"
"Mahatma Gandhi Cancer Hospital And 
Research Institute (Visakhpatnam)",Visakhapatnam,ANDHRA PRADESH,4.9,5864,"P8VP+F8 Visakhapatnam, Andhra Pradesh"
"Mycure Hospitals Unit Ii (Sahrudaya 
Healthcare Pvt Ltd)",VISAKHAPATNAM,ANDHRA PRADESH,,,
Omni Rk Super Hospital,Visakhapatnam,ANDHRA PRADESH,4,1700,"P896+FJ Visakhapatnam, Andhra Pradesh"
Padmaja Hospital (Visakhapatnam),Visakhapatnam,ANDHRA PRADESH,2.9,167,"M6P3+MC Visakhapatnam, Andhra Pradesh"
Padmasri Hospitals,Visakhapatnam,ANDHRA PRADESH,3.1,136,"P8Q3+7F Visakhapatnam, Andhra Pradesh"
"Queen'S Nri Hospital ( Chalasani 
Hospitals Pvt Ltd)",Visakhapatnam,ANDHRA PRADESH,4.5,2079,"P8R5+75 Visakhapatnam, Andhra Pradesh"
Raghavendra Hospital(Vishakhapatnam),Visakhapatnam,ANDHRA PRADESH,4.3,16,"P8Q3+WM Visakhapatnam, Andhra Pradesh"
Sraddha Hospital,Visakhapatnam,ANDHRA PRADESH,3.5,144,"P855+6G Visakhapatnam, Andhra Pradesh"
Susruta Ent Super Hospital,VISAKHAPATNAM,ANDHRA PRADESH,4.6,47,"Q875+JJ Visakhapatnam, Andhra Pradesh"
Venkatarama Hospital ( Visakhapatnam),Visakhapatnam,ANDHRA PRADESH,4.2,131,"P8H3+69 Visakhapatnam, Andhra Pradesh"
Ramsaranya Hospitals Pvt Ltd,VISAKHAPATNAM,ANDHRA PRADESH,3.4,17,"P856+V4 Visakhapatnam, Andhra Pradesh"
MB Multispeciality Hospital,VISAKHAPATNAM,ANDHRA PRADESH,4.8,691,"Q876+F7 Visakhapatnam, Andhra Pradesh"
Apple Hospital,West Godavari,ANDHRA PRADESH,4.6,1586,"QM3F+RR Tanuku, Andhra Pradesh"
Sowbhagya Hospital,West Godavari,ANDHRA PRADESH,3.4,5,
"Sri Lakshmi Satyanarayana Orthopedic 
Hospital",West Godavari,ANDHRA PRADESH,4.1,8,"CPQ3+9G Narsapur, Andhra Pradesh"
Vijaya Hospital.,West Godavari,ANDHRA PRADESH,2.3,18,"CMQX+7Q Narsapur, Andhra Pradesh"
MF Hospital And Research Centre,DIBRUGARH,ASSAM,4.6,95,
Plexus Hospitals Pvt Ltd,DIBRUGARH,ASSAM,3.5,6,
Narayana Superspeciality Hospital,Guwahati,ASSAM,4.8,6491,"6M5H+33 Guwahati, Assam"
Asg Hospital Pvt Ltd (Guwahati),Guwahati,ASSAM,4.9,4024,"5PHX+Q3 Guwahati, Assam"
Sparsh Hospital(Assam),GUWAHATI,ASSAM,4.8,92,"5Q8C+PC Guwahati, Assam"
Paras Global Hospital,DARBHANGA,BIHAR,3.5,678,"4WP5+H8 Darbhanga, Bihar"
Asg Hospital Pvt Ltd (Hajipur),Hajipur,BIHAR,4.8,1780,"P634+25 Hajipur, Bihar"
Asg Hospital Pvt Ltd Muzaffarpur,MUZFFARPUR,BIHAR,4.7,2770,"498W+PV Muzaffarpur, Bihar"
"Ruban Memorial Hospital( Ratan Stone 
Clinic)",Patna,BIHAR,3.4,2330,"J4H6+3P Patna, Bihar"
Sahyog Hospital (Patna),Patna,BIHAR,4.2,919,"J4H5+M8 Patna, Bihar"
Paras HMRI Hospital,PATNA,BIHAR,3.8,6543,"J34M+72 Patna, Bihar"
Bishnupur Multispeciality Hospital,PATNA,BIHAR,3,2,"H5X4+XF Patna, Bihar"
"Dr Bimal Hospital & Research Centre pvt 
Ltd",PATNA,BIHAR,4.4,1494,"J2CV+29 Patna, Bihar"
Big Hospital,PATNA,BIHAR,4.6,11647,"H5QW+49 Patna, Bihar"
Medipark Hospital,PATNA,BIHAR,3.8,370,"J4J5+3G Patna, Bihar"
Max Seven Hospital Pvt Ltd,PURNEA,BIHAR,3,275,"VGFP+QR Kasba, Bihar"
Dharam Hospital,Chandigarh,CHANDIGARH,4,207,PQXF+MJ Chandigarh
Landmark Hospital,CHANDIGARH,CHANDIGARH,4,579,PQ6C+W5 Chandigarh
Mukat Hospital Heart Institute,CHANDIGARH,CHANDIGARH,4.5,1545,PQFC+44 Chandigarh
"Healing Hospital And Institute Of 
Paramedical Sciences",CHANDIGARH,CHANDIGARH,4.5,136,PQF9+JQ Chandigarh
"NH MMI Narayana Multispeciality 
Hospital",RAIPUR,CHATTISGARH,4.9,24035,"6M75+75 Raipur, Chhattisgarh"
Om Hospital,RAIPUR,CHATTISGARH,,239,"6HHX+MC Raipur, Chhattisgarh"
Ramkrishna Care Hospital(Raipur),Raipur,CHATTISGARH,4.4,6407,"6M73+7F Raipur, Chhattisgarh"
"Suyash Hospital, Raipur",Raipur,CHATTISGARH,4.6,6846,"7J54+99 Raipur, Chhattisgarh"
Shri Balaji Multi Specialty Hospital,RAIPUR,CHATTISGARH,3.9,1299,"7MFF+4F Raipur, Chhattisgarh"
Banthia Super Speciality Hospital,RAIPUR,CHATTISGARH,2.7,31,"6JWW+9W Raipur, Chhattisgarh"
"Aarogya Hospital And Research Center 
Pvt Ltc.",RAIPUR,CHATTISGARH,4.1,330,"7M36+WW Raipur, Chhattisgarh"
Sarwa Trauma Hospital,RAIPUR,CHATTISGARH,4.3,88,"6JRH+2H Raipur, Chhattisgarh"
VY Hospital,RAIPUR,CHATTISGARH,,,
We Care Super Specialty Hospital,RAIPUR,CHATTISGARH,3.8,165,"6MP9+6G Raipur, Chhattisgarh"
Panchsheel Hospital Pvt Ltd,DELHI,DELHI,3.6,581,P72H+PW Delhi
"Ramlal Kundanlal Orthopaedic Hospital 
And R.K. Maternity Home",Delhi,DELHI,3.8,390,J79P+6P Delhi
Sehgal Neo Hospital,DELHI,DELHI,4.4,2043,"M35R+7J New Delhi, Delhi"
Kesar Hospital (Delhi),DELHI,DELHI,2.6,42,"P547+8R New Delhi, Delhi"
Navjeevan Hospital,DELHI,DELHI,3.2,271,"M4V5+WG New Delhi, Delhi"
Kukreja Hospital,Delhi,DELHI,4.7,1623,"J75V+MW New Delhi, Delhi"
Samyak Hospital(Shalimar Bagh),DELHI,DELHI,3.4,120,P557+3X Delhi
Shanti Mukand Hospital,DELHI,DELHI,4.4,3326,J8W2+7M Delhi
Rs Grover Memorial Hospital,DELHI,DELHI,3.5,157,"J7VG+2X New Delhi, Delhi"
Jain Hospital New Delhi,DELHI,DELHI,4.3,872,"M835+8F New Delhi, Delhi"
Khandelwal Hospital and Urology Centre,DELHI,DELHI,3.6,338,"M75Q+V9 New Delhi, Delhi"
Kosmos Superspeciality Hospital (Tm),DELHI,DELHI,3.8,430,M836+W5 Delhi
Sama Hospital,DELHI,DELHI,4.5,604,"H63G+RQ New Delhi, Delhi"
Venkateshwar Hospital,DELHI,DELHI,4.4,14987,"H2QQ+C6 New Delhi, Delhi"
Roopchand Hospital,DELHI,DELHI,4.2,28,P25R+H5 Delhi
Dr. Gupta Nursing Home And Hospital,DELHI,DELHI,2.8,40,"M7GQ+84 New Delhi, Delhi"
Shree Aggarsain International Hospital,DELHI,DELHI,3.9,1234,"P397+HX Rohini, Delhi"
Saroj Super Speciality Hospital,NEW DELHI,DELHI,4.2,4368,"P44H+9H New Delhi, Delhi"
"Dharamshila Hospital and Research 
Centre",NEW DELHI,DELHI,4.3,1727,"J837+2J New Delhi, Delhi"
Indus Valley Hospitals,NEW DELHI,DELHI,5,8,JX7R+C9 Delhi
Shri Moolchand Kharaiti Ram Hospital,NEW DELHI,DELHI,1,1,
Tirath Ram Shah Hospital,NEW DELHI,DELHI,3,467,"M6C8+6F New Delhi, Delhi"
Indraprastha Apollo Hospital,NEW DELHI,DELHI,4.7,12745,"G7RM+G7 New Delhi, Delhi"
Jaipur Golden Hospital,NEW DELHI,DELHI,3.7,1419,M4X5+3P Delhi
Kukreja Hospital And Heart Centre,NEW DELHI,DELHI,4.3,1255,"J4W8+RX New Delhi, Delhi"
Sir Ganga Ram Hospital,NEW DELHI,DELHI,3.3,223,"J5QQ+7F New Delhi, Delhi"
"Max super speciality Hospital 
(Patparganj)",NEW DELHI,DELHI,4,4149,J8M5+5J Delhi
"Rg Stone Urology And Laproscopy 
Hospital",NEW DELHI,DELHI,4.6,1341,"H63V+HP New Delhi, Delhi"
Goyal Hospital & Urology Centre,NEW DELHI,DELHI,4.3,1272,"M76J+FX New Delhi, Delhi"
Fortis Flt Lt Rajan Dhall Hospital,NEW DELHI,DELHI,4.5,5342,"G596+Q5 New Delhi, Delhi"
"RG Stone Urology And Laproscopy 
Hospital",NEW DELHI,DELHI,4.6,1341,"H63V+HP New Delhi, Delhi"
Sant Parmanand Hospital,NEW DELHI,DELHI,3.5,856,"M6HF+3J New Delhi, Delhi"
Jeewan Nursing Homeand Hospital,NEW DELHI,DELHI,4.1,339,"J5VQ+G7 New Delhi, Delhi"
Sukhda Hospital,NEW DELHI,DELHI,3.6,51,
Aakash Hospital,NEW DELHI,DELHI,4,786,"G6M7+JQ New Delhi, Delhi"
MGS Hospital,NEW DELHI,DELHI,3.9,376,"M4FM+JV New Delhi, Delhi"
Shree Jeewan Hospital,NEW DELHI,DELHI,3.9,64,"M55V+5R New Delhi, Delhi"
"Bhagwati Hospital (Unit Of Sarvodya 
Health Foundation)",NEW DELHI,DELHI,4.5,71,"G6VX+V4 New Delhi, Delhi"
Mata Chanan Devi Hospital,NEW DELHI,DELHI,4,940,"J39H+H8 New Delhi, Delhi"
Bhagwan Mahavir Hospital,NEW DELHI,DELHI,3.6,324,M4Q9+95 Delhi
